cliente_id,idade,genero,estado,renda_mensal,saldo_atual,score_credito,produtos_ativos,membro_ativo,churn_flag
U0001,41,Feminino,SP,8200,14500,735,3,1,0
U0002,58,Masculino,RJ,5400,1200,512,1,0,1
U0003,33,Feminino,MG,6700,38000,684,2,1,0
U0004,24,Nao informado,BA,3100,350,498,1,0,1
U0005,47,Masculino,PR,9400,182000,702,2,0,0
U0006,62,Feminino,RS,7600,2200,588,1,0,1
U0007,29,Feminino,SC,4800,8100,641,2,1,0
U0008,53,Masculino,PE,11600,52000,790,4,1,0
U0009,38,Feminino,CE,3900,600,530,1,0,1
U0010,44,Masculino,GO,8800,27600,721,3,1,0
U0011,35,Feminino,DF,12900,95000,812,4,1,0
U0012,67,Masculino,SP,7100,1800,575,1,0,1
U0013,31,Feminino,RJ,5600,12100,660,2,1,0
U0014,49,Masculino,MG,10200,204000,695,1,0,0
U0015,27,Feminino,BA,4300,900,548,1,0,1
U0016,55,Masculino,PR,9700,41000,625,2,1,0
U0017,42,Feminino,RS,6900,1500,590,1,0,1
U0018,36,Masculino,SC,8300,73000,745,3,1,0
U0019,60,Feminino,PE,6200,2900,602,1,0,1
U0020,30,Masculino,CE,5200,15600,674,2,1,0
